n,Time
10 , 0.00016
11 , 0.00016
12 , 0.00017
13 , 0.00017
14 , 0.00019
15 , 0.0002
16 , 0.00021
17 , 0.00021
18 , 0.00022
19 , 0.00023
20 , 0.00025
21 , 0.00025
22 , 0.00026
23 , 0.00027
24 , 0.00028
25 , 0.00028
26 , 0.0003
27 , 0.0003
28 , 0.00031
29 , 0.00032
30 , 0.00033
31 , 0.00034
32 , 0.00035
33 , 0.00036
34 , 0.00034
35 , 0.00035
36 , 0.00037
37 , 0.00039
38 , 0.00039
39 , 0.0004
40 , 0.00041
41 , 0.00043
42 , 0.00051
43 , 0.00053
44 , 0.00043
45 , 0.00042
46 , 0.00046
47 , 0.00044
48 , 0.00047
49 , 0.00061
